年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10210(實價),透天厝,嘉義市嘉義市興仁里軍輝路1~30號,41.3,4房/1廳/3衛,1 /共1層,46.35,165.77,--,#NAME?,15.6萬,721萬,600台灣嘉義市東區軍輝路152-1號,23.4561599,120.4610738,太平里
10212(實價),透天厝,嘉義市嘉義市軍輝路162巷1~30號,37.3,2房/2廳/3衛,1 /共2層,25.68,22.08,--,#NAME?,12.1萬,310萬,600台灣嘉義市東區軍輝路162巷11號,23.4564755,120.4608005,太平里
10206(實價),透天厝,嘉義市嘉義市軍輝路162巷31~60號,36.8,4房/1廳/4衛,1 /共2層,25.68,22.39,--,#NAME?,12.7萬,325萬,600台灣嘉義市東區軍輝路162巷31號,23.4568189,120.4607153,太平里
10206(實價),透天厝,嘉義市嘉義市軍輝路241~270號,13.3,3房/2廳/3衛,1 /共3層,32.37,19.62,--,#NAME?,12.4萬,400萬,600台灣嘉義市東區軍輝路220-244號,23.4546484,120.4584575,太平里
10209(實價),透天厝,嘉義市嘉義市軍輝路361~390號,18.7,4房/2廳/3衛,1 /共4層,60.37,28.81,--,#NAME?,7.5萬,450萬,600台灣嘉義市東區軍輝路339號,23.4541137,120.4573892,太平里
10208(實價),透天厝,嘉義市嘉義市軍輝路541~570號,35.6,1房/1廳/1衛,1 /共2層,27.03,18.45,--,#NAME?,10.9萬,295萬,600台灣嘉義市東區軍輝路541號,23.4511179,120.4547253,太平里
10203(實價),透天厝,嘉義市嘉義市軍輝路136巷1~30號,22,5房/3廳/3衛,1 /共4層,58.09,27.83,--,#NAME?,8.7萬,508萬,600台灣嘉義市東區軍輝路91巷1號,23.4560228,120.4618719,太平里
10204(實價),公寓,嘉義市嘉義市軍輝路91巷1~30號,19.8,3房/2廳/2衛,5 /共5層,39.4,17.72,--,#NAME?,5.1萬,200萬,600台灣嘉義市東區軍輝路91巷1號,23.4560228,120.4618719,太平里
10207(實價),公寓,嘉義市嘉義市興仁里軍輝路104巷1~30號,27.3,5房/1廳/5衛,1 /共2層,37.98,56.26,--,#NAME?,10.5萬,400萬,600台灣嘉義市東區軍輝路91巷1號,23.4560228,120.4618719,太平里
10209(實價),公寓,嘉義市嘉義市軍輝路91巷31~60號,20.2,3房/2廳/2衛,5 /共5層,37.65,17.19,--,#NAME?,4.5萬,168萬,600台灣嘉義市東區軍輝路91巷54號,23.4552764,120.4616274,太平里
10202(實價),透天厝,嘉義市嘉義市啟明路61~90號,35.7,2房/2廳/2衛,1 /共2層,35.45,19.06,--,#NAME?,8.5萬,300萬,600台灣嘉義市東區啟明路102號,23.4784302,120.4624466,太平里
10203(實價),透天厝,嘉義市嘉義市啟明路121~150號,44.2,3房/2廳/2衛,1 /共2層,31.18,34.79,--,#NAME?,42.3萬,1320萬,600台灣嘉義市東區啟明路102號,23.4784302,120.4624466,太平里
10207(實價),套房,嘉義市嘉義市啟明路31~60號,14.9,1房/1廳/1衛,4 /共12層,13.46,1.67,--,#NAME?,7.4萬,100萬,600台灣嘉義市東區啟明路102號,23.4784302,120.4624466,太平里
10206(實價),透天厝,嘉義市嘉義市啟明路241~270號,36.4,6房/2廳/3衛,1 /共3層,43.23,20.57,--,#NAME?,27.8萬,1200萬,600台灣嘉義市東區啟明路245號,23.4832407,120.4632171,太平里
10201(實價),透天厝,嘉義市嘉義市啟明路271~300號,40.8,2房/2廳/2衛,1 /共2層,24.97,20.27,--,#NAME?,15.9萬,397萬,600台灣嘉義市東區啟明路277號,23.4839272,120.4630794,太平里
10204(實價),透天厝,嘉義市嘉義市啟明路271~300號,41,5房/2廳/4衛,1 /共2層,24.97,20.27,--,#NAME?,23.6萬,590萬,600台灣嘉義市東區啟明路277號,23.4839272,120.4630794,太平里
10210(實價),透天厝,嘉義市嘉義市啟明路301~330號,33.8,3房/2廳/2衛,1 /共2層,32.58,24.5,--,#NAME?,6.1萬,200萬,600台灣嘉義市東區啟明路283號,23.484034,120.4630997,太平里
10208(實價),公寓,嘉義市嘉義市國華街39巷1~30號,53.1,0房/0廳/0衛,1 /共2層,75.17,226.27,--,#NAME?,90.6萬,6807萬,600台灣嘉義市東區國華街10巷1-21號,23.4695072,120.4496073,太平里
10202(實價),華廈(含車位),嘉義市嘉義市崇文街121~150號,22.1,6房/4廳/5衛,6 /共6層,103.62,25.56,--,#NAME?,8.3萬,858萬,600台灣嘉義市東區崇文街121號,23.4721348,120.4531575,朝陽里
10208(實價),透天厝,嘉義市嘉義市育英里1鄰崇文街151~180號,41.6,6房/2廳/2衛,1 /共2層,33.52,22.39,--,#NAME?,15.2萬,510萬,600台灣嘉義市東區崇文街151號,23.4720469,120.4522508,朝陽里
10208(實價),透天厝,嘉義市嘉義市康樂街317巷31~60號,63.3,1房/1廳/1衛,1 /共1層,10.3,16.59,--,#NAME?,7.8萬,80萬,600台灣嘉義市東區康樂街21號,23.475222,120.4528235,朝陽里
10210(實價),透天厝,嘉義市嘉義市荖藤宅31~60號,23.6,4房/2廳/3衛,1 /共3層,47.93,30.85,--,#NAME?,8萬,385萬,600台灣嘉義市東區莊敬橋,23.5096956,120.4417831,長竹里
10211(實價),透天厝,嘉義市嘉義市荖藤宅31~60號,0.3,3房/2廳/3衛,1 /共3層,55.76,33.28,--,#NAME?,12.7萬,710萬,600台灣嘉義市東區莊敬橋,23.5096956,120.4417831,長竹里
10211(實價),透天厝,嘉義市嘉義市荖藤宅31~60號,0.3,3房/2廳/3衛,1 /共4層,61.53,51.2,--,#NAME?,13.6萬,839萬,600台灣嘉義市東區莊敬橋,23.5096956,120.4417831,長竹里
10212(實價),透天厝,嘉義市嘉義市荖藤宅31~60號,0.3,3房/2廳/3衛,1 /共3層,55.76,25.41,--,#NAME?,12.2萬,680萬,600台灣嘉義市東區莊敬橋,23.5096956,120.4417831,長竹里
10201(實價),透天厝,嘉義市嘉義市博東路152巷106弄1~30號,18.3,4房/2廳/3衛,1 /共4層,57.05,32.39,--,#NAME?,12.4萬,708萬,600台灣嘉義市東區博東路1號,23.4902251,120.4560186,長竹里
10201(實價),透天厝,嘉義市嘉義市博東路152巷96弄1~30號,17.3,4房/1廳/3衛,1 /共4層,72.79,37.89,--,#NAME?,11萬,800萬,600台灣嘉義市東區博東路1號,23.4902251,120.4560186,長竹里
10205(實價),住宅大樓(含車位),嘉義市嘉義市博東路1~30號,19,3房/2廳/2衛,4 /共12層,36.38,5.14,--,#NAME?,6.5萬,235萬,600台灣嘉義市東區博東路1號,23.4902251,120.4560186,長竹里
